id_cliente,nome_cliente,cnpj,cidade,estado,setor
81,Vanguard Capital,87.623.451/0001-63,Adamantina,SP,Financeiro
82,Ancore Financas,10.674.398/0001-03,Araraquara,SP,Financeiro
83,Consolidar Wealth Management,57.019.842/0001-02,Botucatu,SP,Financeiro
84,Patrimonium Asset,21.046.789/0001-91,Sao Paulo,SP,Financeiro
85,Sauber Investimentos,74.531.296/0001-03,Campinas,SP,Financeiro
86,Inove Payment,34.705.219/0001-08,Vila Velha,ES,Financeiro
87,Lexus Finance,57.940.283/0001-79,Cariacica,ES,Financeiro
88,Avalon Digital,24.357.691/0001-43,Vitoria,ES,Financeiro
89,Velvet Financial Inc.,69.207.385/0001-69,Linhares,ES,Financeiro
90,Goldguard Credito,19.257.034/0001-94,Guarapari,ES,Financeiro
91,Growth Investimentos,43.152.978/0001-81,Rio de Janeiro,RJ,Financeiro
92,Vertice Capital,75.634.920/0001-60,Niteroi,RJ,Financeiro
93,Horizonte Previdencia,48.921.703/0001-89,Campo Grande,RJ,Financeiro
94,Magnus Gestao Financeira,29.803.745/0001-70,Sao Goncalo,RJ,Financeiro
95,Paramount Bank Corp.,81.632.794/0001-08,Duque de Caxias,RJ,Financeiro
96,Legacy Gestao,04.352.961/0001-16,Curitiba,PR,Financeiro
97,Kiron Financas,15.896.043/0001-74,Londrina,PR,Financeiro
98,Zypper Asset,26.301.574/0001-93,Maringa,PR,Financeiro
99,Sparkle Holdings,37.495.068/0001-07,Ponta Grossa,PR,Financeiro
100,Credence System,96.854.701/0001-67,Cascavel,PR,Financeiro
